                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1221,                 2.0826,                 2.8974,                 1.2702,                0.01026,                0.41379,                0.00797,                0.00276,                0.00266,                0.75369,                 0.0037,                0.00121,                 1.6004,                 2.1334,                 4.3657,                 1.8627,             0.00065972,             0.00065972,             0.00065972
                      2,                 1.7636,                 2.7351,                 3.6806,                 1.7745,                0.00827,                0.38424,                0.00526,                0.00232,                      0,                      0,                      0,                      0,                 1.7257,                 7.8311,                 159.95,                 2.8815,              0.0013133,              0.0013133,              0.0013133
                      3,                 1.9021,                 3.0553,                  2.745,                 1.9774,                  3e-05,                0.00985,                  2e-05,                  1e-05,                  2e-05,                0.00493,                  1e-05,                      0,                    nan,                    nan,                    nan,                    nan,              0.0019536,              0.0019536,              0.0019536
                      4,                 2.0532,                 2.9742,                 3.5848,                 2.0549,                0.00436,                0.60099,                 0.0032,                0.00176,                0.00413,                0.56158,                0.00299,                 0.0011,                 1.7966,                 2.1131,                 549.61,                 2.0007,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.1082,                 2.2633,                 4.2815,                 1.9754,                0.01816,                0.24631,                 0.0064,                0.00159,                 0.0246,                0.33005,                0.01137,                0.00346,                 2.9905,                 8.8629,                 90.762,                 3.3955,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.9316,                 2.5441,                 2.6298,                  1.988,                0.00162,                0.45813,                0.00143,                0.00072,                0.00157,                0.44335,                0.00148,                0.00064,                 2.3373,                 40.018,                    inf,                 7.8996,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.8363,                 2.0536,                 2.3374,                 1.8964,                0.00172,                0.38916,                0.00129,                0.00069,                0.00189,                0.37438,                0.00127,                0.00056,                 2.5807,                 36.176,                    inf,                 11.231,               0.001901,               0.001901,               0.001901
                      8,                 1.6666,                 1.7322,                 1.8383,                 1.6992,                0.03761,                0.46798,                0.03082,                0.01546,                0.03809,                0.47291,                0.02926,                0.01112,                  1.747,                 2.0514,                 24.729,                 1.7895,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6437,                 1.8382,                 1.7644,                 1.6749,                0.63481,                0.34483,                0.39388,                0.20714,                0.58946,                 0.3202,                0.33843,                0.10224,                 1.7755,                 2.9811,                 2.4771,                 1.8491,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.595,                 1.7353,                 1.6409,                 1.6668,                0.63203,                0.68536,                 0.6967,                 0.3629,                0.57648,                0.61084,                0.58839,                0.20672,                 1.5934,                 1.9978,                 1.3836,                 1.6045,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.5167,                 1.7585,                 1.4672,                 1.5517,                0.79093,                0.72682,                0.81366,                0.46963,                0.76413,                0.70219,                0.74935,                0.32392,                 1.4033,                  1.633,                 1.1707,                  1.586,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.4037,                 1.6449,                 1.3004,                 1.5081,                0.73358,                0.72414,                0.76256,                0.43827,                0.68739,                 0.6798,                0.68666,                0.30406,                 1.4229,                 1.4914,                 1.3459,                 1.5573,               0.001802,               0.001802,               0.001802
                     13,                 1.4232,                 1.6092,                 1.3594,                   1.53,                0.80284,                0.69458,                0.83162,                0.53508,                0.75833,                0.65517,                0.76341,                0.36828,                  1.194,                   1.59,                 1.1332,                  1.374,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2985,                 1.5383,                 1.2634,                 1.4083,                0.77938,                0.74831,                 0.8016,                0.50204,                0.77425,                0.74339,                0.79255,                0.39336,                 1.2484,                 1.5012,                 1.1164,                 1.4208,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2916,                 1.6799,                 1.2668,                 1.4057,                0.82236,                0.69458,                0.82579,                0.55121,                0.81155,                0.68473,                0.81018,                0.41249,                 1.1962,                 1.5512,                 1.0655,                 1.4117,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2103,                 1.5578,                 1.1431,                 1.3274,                0.83209,                0.82998,                0.88522,                0.60131,                0.82108,                0.80296,                0.85528,                0.46242,                 1.1234,                 1.3879,                 1.0523,                 1.3465,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.1933,                 1.4436,                 1.1657,                 1.3565,                0.88854,                 0.7854,                0.88326,                0.57453,                0.87159,                0.76907,                0.84766,                0.43405,                 1.1805,                 1.4114,                 1.0895,                 1.3775,               0.001703,               0.001703,               0.001703
                     18,                 1.1968,                 1.5163,                 1.1041,                 1.3699,                0.82879,                0.89163,                0.91051,                0.59023,                0.79521,                0.85714,                0.85675,                0.39259,                  1.224,                 1.4379,                0.99238,                 1.4047,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.3161,                 1.5233,                 1.1067,                  1.384,                0.86526,                0.88576,                0.92428,                0.65035,                0.86045,                0.88084,                0.90984,                0.46071,                 1.0852,                 1.4044,                 1.0018,                 1.2989,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2327,                 1.4586,                 1.0755,                 1.3275,                0.86062,                 0.8821,                0.92612,                0.67353,                0.79434,                0.84236,                0.85681,                0.46994,                 1.0166,                 1.4092,                0.90115,                 1.2468,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.1923,                 1.4379,                 1.0915,                 1.2379,                0.91087,                 0.9064,                0.94042,                0.67125,                0.88057,                0.87685,                0.90879,                0.47804,                 1.0059,                 1.3568,                0.88067,                 1.2349,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.0907,                 1.4523,                0.95945,                 1.2459,                0.87744,                0.90148,                0.93364,                0.64921,                0.85206,                0.87685,                0.90281,                0.49045,                 1.0193,                 1.2948,                 0.8728,                 1.2483,               0.001604,               0.001604,               0.001604
                     23,                 1.0968,                 1.4021,                0.96889,                 1.2701,                0.92681,                0.82759,                0.92432,                0.69571,                0.92102,                0.81773,                0.90488,                0.49384,                0.93261,                  1.317,                0.91176,                 1.1899,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.0376,                  1.336,                0.99044,                 1.2529,                0.85727,                0.75862,                0.87488,                0.62324,                0.82709,                0.66502,                0.76008,                0.38078,                 1.0554,                 2.2369,                0.96869,                 1.2787,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.0521,                 1.3834,                0.96164,                 1.2241,                0.91214,                 0.8867,                0.95351,                0.72941,                0.87722,                0.85222,                0.91091,                0.50788,                0.88106,                 1.3175,                0.75721,                 1.1626,              0.0015446,              0.0015446,              0.0015446
